threshold,precision,recall,f1
0.18090464,0.37669094693028093,0.9679144385026738,0.5423220973782772
0.18290885,0.3770833333333333,0.9679144385026738,0.5427286356821589
0.18324497,0.37747653806047965,0.9679144385026738,0.5431357839459864
0.18458232,0.3778705636743215,0.9679144385026738,0.5435435435435435
0.18604131,0.3782654127481714,0.9679144385026738,0.5439519158527423
0.18605748,0.3786610878661088,0.9679144385026738,0.544360902255639
0.18644637,0.37801047120418846,0.9652406417112299,0.5432656132430399
0.18751703,0.37840670859538783,0.9652406417112299,0.5436746987951807
0.18875897,0.3777544596012592,0.9625668449197861,0.5425772418990205
0.18902884,0.37815126050420167,0.9625668449197861,0.5429864253393665
0.19025995,0.3785488958990536,0.9625668449197861,0.5433962264150943
0.19095257,0.37894736842105264,0.9625668449197861,0.5438066465256798
0.19155714,0.3793466807165437,0.9625668449197861,0.54421768707483
0.1922248,0.379746835443038,0.9625668449197861,0.5446293494704992
0.19256938,0.3801478352692714,0.9625668449197861,0.5450416351249053
0.19362096,0.38054968287526425,0.9625668449197861,0.5454545454545454
0.19376755,0.38095238095238093,0.9625668449197861,0.5458680818802123
0.19557169,0.3813559322033898,0.9625668449197861,0.5462822458270106
0.19583021,0.38176033934252385,0.9625668449197861,0.5466970387243736
0.19619295,0.3821656050955414,0.9625668449197861,0.5471124620060791
0.19674371,0.38257173219978746,0.9625668449197861,0.5475285171102663
0.20035625,0.3829787234042553,0.9625668449197861,0.547945205479452
0.20151263,0.38338658146964855,0.9625668449197861,0.5483625285605483
0.20435683,0.3837953091684435,0.9625668449197861,0.548780487804878
0.2047738,0.3831376734258271,0.9598930481283422,0.547673531655225
0.20504014,0.38354700854700857,0.9598930481283422,0.5480916030534351
0.20546877,0.3839572192513369,0.9598930481283422,0.5485103132161956
0.20626797,0.38436830835117775,0.9598930481283422,0.5489296636085627
0.20709962,0.38478027867095393,0.9598930481283422,0.5493496557000765
0.20719467,0.3851931330472103,0.9598930481283422,0.5497702909647779
0.20739688,0.38560687432867885,0.9598930481283422,0.5501915708812262
0.20758042,0.3860215053763441,0.9598930481283422,0.5506134969325154
0.20829405,0.38643702906350913,0.9598930481283422,0.5510360706062931
0.20894782,0.38685344827586204,0.9598930481283422,0.5514592933947773
0.21015266,0.38727076591154264,0.9598930481283422,0.5518831667947732
0.2122495,0.3876889848812095,0.9598930481283422,0.5523076923076924
0.21370411,0.3881081081081081,0.9598930481283422,0.5527328714395688
0.2150122,0.38852813852813856,0.9598930481283422,0.5531587057010786
0.21564412,0.38894907908992415,0.9598930481283422,0.5535851966075559
0.21567738,0.3893709327548807,0.9598930481283422,0.5540123456790124
0.21576251,0.38979370249728557,0.9598930481283422,0.5544401544401545
0.21718673,0.38913043478260867,0.9572192513368984,0.5533230293663061
0.21859643,0.3895538628944505,0.9572192513368984,0.5537509667440061
0.22038412,0.3899782135076253,0.9572192513368984,0.5541795665634676
0.22068454,0.3904034896401309,0.9572192513368984,0.5546088303640588
0.22179547,0.39082969432314413,0.9572192513368984,0.5550387596899224
0.22205234,0.3901639344262295,0.9545454545454546,0.5539177657098525
0.22390692,0.39059080962800874,0.9545454545454546,0.5543478260869565
0.22433881,0.3910186199342826,0.9545454545454546,0.5547785547785548
0.22506258,0.39144736842105265,0.9545454545454546,0.5552099533437014
0.22531952,0.3918770581778266,0.9545454545454546,0.5556420233463035
0.2256843,0.3923076923076923,0.9545454545454546,0.5560747663551403
0.22593445,0.3927392739273927,0.9545454545454546,0.5565081839438816
0.22593455,0.3931718061674009,0.9545454545454546,0.5569422776911076
0.22711645,0.3936052921719956,0.9545454545454546,0.5573770491803279
0.22829702,0.39403973509933776,0.9545454545454546,0.5578125
0.22963643,0.39447513812154694,0.9545454545454546,0.5582486317435496
0.22968589,0.39491150442477874,0.9545454545454546,0.5586854460093896
0.23034939,0.3953488372093023,0.9545454545454546,0.5591229444009397
0.23173389,0.39578713968957874,0.9545454545454546,0.5595611285266459
0.23174477,0.3951165371809101,0.9518716577540107,0.5584313725490198
0.23217137,0.39555555555555555,0.9518716577540107,0.5588697017268446
0.23486257,0.39599555061179087,0.9518716577540107,0.5593087195600942
0.23772663,0.39532293986636974,0.9491978609625669,0.5581761006289309
0.23801078,0.3957636566332218,0.9491978609625669,0.5586152635719905
0.2382877,0.39620535714285715,0.9491978609625669,0.5590551181102362
0.23847711,0.39664804469273746,0.9491978609625669,0.5594956658786447
0.23908041,0.3959731543624161,0.946524064171123,0.5583596214511041
0.23988627,0.3964165733482643,0.946524064171123,0.5588003157063931
0.24142411,0.3968609865470852,0.946524064171123,0.5592417061611374
0.24208532,0.39730639730639733,0.946524064171123,0.5596837944664033
0.24214701,0.39775280898876403,0.946524064171123,0.560126582278481
0.24231836,0.3982002249718785,0.946524064171123,0.5605700712589073
0.2449604,0.39864864864864863,0.946524064171123,0.5610142630744849
0.24794793,0.399098083427283,0.946524064171123,0.5614591593973037
0.24835972,0.39954853273137697,0.946524064171123,0.5619047619047619
0.24916641,0.4,0.946524064171123,0.562351072279587
0.24974509,0.4004524886877828,0.946524064171123,0.5627980922098569
0.25069782,0.40090600226500567,0.946524064171123,0.5632458233890214
0.2511213,0.4013605442176871,0.946524064171123,0.5636942675159236
0.25154224,0.4018161180476731,0.946524064171123,0.5641434262948207
0.25158018,0.4022727272727273,0.946524064171123,0.5645933014354066
0.2519759,0.40273037542662116,0.946524064171123,0.5650438946528332
0.2520287,0.4031890660592255,0.946524064171123,0.5654952076677316
0.2522717,0.40364880273660203,0.946524064171123,0.5659472422062349
0.25342065,0.4041095890410959,0.946524064171123,0.5664
0.25357643,0.4045714285714286,0.946524064171123,0.5668534827862289
0.255101,0.40503432494279173,0.946524064171123,0.5673076923076923
0.25511438,0.4054982817869416,0.946524064171123,0.5677626303127505
0.25511503,0.4048165137614679,0.9438502673796791,0.5666131621187801
0.25636727,0.4052812858783008,0.9438502673796791,0.5670682730923695
0.25716874,0.4057471264367816,0.9438502673796791,0.567524115755627
0.25798342,0.4062140391254315,0.9438502673796791,0.5679806918744972
0.25807747,0.4066820276497696,0.9438502673796791,0.5684380032206119
